Date,Unit Labour Cost Of Overall Economy,Unit Labour Cost Of Goods Producing Industries,Unit Labour Cost Of Manufacturing,Unit Labour Cost Of Construction,Unit Labour Cost Of Utilities,Unit Labour Cost Of Other Goods Industries,Unit Labour Cost Of Services Producing Industries,Unit Labour Cost Of Wholesale & Retail Trade,Unit Labour Cost Of Wholesale Trade,Unit Labour Cost Of Retail Trade,Unit Labour Cost Of Transportation & Storage,Unit Labour Cost Of Accommodation & Food Services,Unit Labour Cost Of Accommodation,Unit Labour Cost Of Food & Beverage Services,Unit Labour Cost Of Information & Communications,Unit Labour Cost Of Finance & Insurance,"Unit Labour Cost Of Real Estate, Professional Services And Administrative & Support Services",Unit Labour Cost Of Real Estate,Unit Labour Cost Of Professional Services,Unit Labour Cost Of Administrative & Support Services,Unit Labour Cost Of Other Services Industries,Unit Labour Cost Of Public Administration & Defence,Unit Labour Cost Of Education,Unit Labour Cost Of Health & Social Services,"Unit Labour Cost Of Arts, Entertainment & Recreation",Unit Labour Cost Of Other Services - Others
2024-01-01,116.4,93.8,83.4,141,131,119.6,123.6,109,107.5,132.8,115.1,140.6,130.7,155.4,119.5,109.8,151.2,101.5,137.9,190.8,129.7,130.1,124.1,132.1,131.7,124.5
2023-01-01,115,93.6,84.1,138.8,128.3,118.3,121.8,108,106.8,125.1,118.6,132,126.6,141,121.9,109.4,144.6,98,132.8,179.7,124.2,123.9,119.4,125.3,129.2,119.8
2022-01-01,108,83.9,76.8,127.4,121.2,116.1,116.1,101.5,100.8,115.9,111.7,124.1,118.9,130.2,125.6,103.4,137.2,97.8,124.9,171.5,121,119.2,115.7,119.1,132.5,119.9
2021-01-01,98.9,74.8,70.2,114.3,114.1,99,107.3,97,97.8,105.3,96.1,101.5,94.5,108.4,112.3,93.4,130.2,95.4,118,161.7,116.7,114,111.3,111.7,128.2,120
2020-01-01,93.8,72.1,69.8,119.2,108.9,87.2,101.3,93,94.2,99.4,97.6,92.5,92.4,95.7,102.6,89.3,116.8,109.1,106.1,120.7,109.2,105.2,106,101.7,138.1,111.8
2019-01-01,102.4,90.1,88.5,101.1,107.9,105.4,106.4,105.2,105.1,109.8,104.7,106.9,105.3,109.2,106.8,96.9,114.2,112.8,103.3,121,107.1,111.7,107.5,105.9,92.2,106.6
2018-01-01,100.1,86.4,84.1,99.4,108.8,108.1,104.7,104.7,105.1,104,103.2,103.1,99.1,106.6,108.7,98.6,105.2,108.6,106.4,94.8,107.6,111.2,110.2,103.7,96,108
2017-01-01,99.9,91,87.9,104,104,106.9,102.8,104,104.5,101.8,99.4,103.3,100,105.4,104.8,98.7,102.2,107.9,103.8,91.6,105.2,108.9,107.6,101,95.1,105.9
2016-01-01,101.1,98.2,95.7,104.3,100.5,105.1,102,103.5,104,100.7,101.9,102.6,100.5,103.8,101.4,101.1,99.9,97.8,104.4,91.2,102.6,103.4,101.8,98.5,109.1,104
2015-01-01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2014-01-01,97.5,94.7,94.1,99.6,95.5,96.8,98.5,98.4,98.3,100.1,98,95.9,94.9,96.6,93.5,101,101.4,93.5,101.2,108.9,95.7,95.4,98.9,95.9,88.6,99.7
2013-01-01,94.6,91.1,91.2,97.1,90,95.4,95.9,97.1,97.9,93.6,92.8,93,89.6,95,90.5,100.8,97.8,81,97.2,111.9,92.4,91.4,96.6,90.7,86.8,97.3
2012-01-01,93.4,85.8,88.6,86.5,81.2,99,96.4,98.8,100.4,89.7,90.5,90.8,86.8,93.8,92.4,112.1,96.4,86.3,90,116.3,87.2,82.6,92.1,88.6,78.8,98.8
2011-01-01,91,81.2,85.4,81.7,76.8,99.7,94.9,101.2,103.6,86.8,87.3,86.8,82.3,91.6,90.3,111.7,92.3,84.6,87.4,107.9,84.6,84.1,91.7,81.9,68.5,96.1
2010-01-01,89.6,81.5,87.3,77.6,75,100.1,93.1,100.1,103.2,81,85.3,86,83.8,88.6,88.5,108.2,92.1,80.2,84.2,118.7,81.4,76.7,86.9,78.4,75.3,92.4
2009-01-01,92.5,92.1,103.8,74.5,73.2,97.8,93.2,108.6,114.2,74.5,84.4,83.1,78.1,85.8,81.4,105.1,89.9,75,81.5,114.5,81.7,69.3,82.6,74.2,108.2,91.2
