Date,Cement In Bulk (Ordinary Portland Cement),Steel Reinforcement Bars (16-32mm High Tensile),Granite (20mm Aggregate),Concreting Sand,Ready Mixed Concrete
2025-05-01,103.6,697,22.1,26.9,119.7
2025-04-01,103.6,701,22.2,26.8,119.9
2025-03-01,103.9,701.3,22.3,27.3,119.6
2025-02-01,104.2,706.3,22.2,27.6,119.2
2025-01-01,104.4,724.1,22.6,27.4,119.9
2024-12-01,105.8,735.9,22.6,27.7,120.5
2024-11-01,106.4,751.1,22.4,27.7,120.3
2024-10-01,107.4,753.6,22.4,27.7,120.3
2024-09-01,108,771.9,22.5,27.6,120.5
2024-08-01,108.4,786.2,22.8,27.7,119.9
2024-07-01,109,801.2,23,27.5,120.5
2024-06-01,109.6,805.7,22.2,28,120
2024-05-01,110.2,812.5,22.1,27.9,120.4
2024-04-01,110.2,819.4,22.3,27.9,119.2
2024-03-01,110.8,821.7,22.4,28.1,118
2024-02-01,110.6,829.6,22.2,28.3,118
2024-01-01,110.6,833.7,22.3,28.1,118.1
2023-12-01,111.7,819.7,21.2,27.9,115.4
2023-11-01,112,826.7,20.3,29.6,115.4
2023-10-01,113.2,827.4,19.5,29.3,116.4
2023-09-01,113.5,830.1,18.6,29.5,116.6
2023-08-01,114.4,832.6,18.5,29.4,116.4
2023-07-01,115.2,859.2,18.5,29,116.3
2023-06-01,116.7,885.5,18.5,29.2,117.3
2023-05-01,117.2,922.8,18.3,29.2,117.6
2023-04-01,118,940.1,18.6,29.1,117.2
2023-03-01,118.2,946.6,18.3,29.2,116.8
2023-02-01,118.4,942.1,18.5,28.2,118.1
2023-01-01,118.5,922.6,19,28.2,117.6
2022-12-01,118.3,952.3,19.3,28.1,118
2022-11-01,118.4,1004.5,20.5,22.4,118.2
2022-10-01,118.6,1040.5,20.4,23,118.5
2022-09-01,118.6,1072.6,20.8,22.5,118.6
2022-08-01,119,1106.3,20.5,23.2,118.3
2022-07-01,118.5,1187.79,20.7,23.6,118.6
2022-06-01,118.3,1245.5,20.9,23.8,118.8
2022-05-01,118.4,1246.21,20.6,24.2,117.9
2022-04-01,112.7,1270.54,20.3,24.7,116.8
2022-03-01,110,1241.5,20.1,23.2,112.7
2022-02-01,106.3,1146.4,19.9,24.3,105.7
2022-01-01,104.6,1106.4,20,22.9,105.3
2021-12-01,97.5,1105.5,20.1,23,104.2
2021-11-01,96.1,1113.47,20.1,22.6,104.2
2021-10-01,95.4,1112.9,20.4,22.7,103
2021-09-01,95.1,1105.4,20.9,23.1,104.1
2021-08-01,95.1,1111.9,20.8,23.9,104.6
2021-07-01,95,1104.1,20.7,24.1,102.8
2021-06-01,91.2,1101.2,21.5,24.9,99.7
2021-05-01,90,1085.16,18.5,24.4,96.2
2021-04-01,88.4,962.1,18.3,23.8,95.2
2021-03-01,85.8,933.29,17.9,24.2,95.2
2021-02-01,85.7,913.32,17.9,23.4,94.9
2021-01-01,85.7,910.51,17.9,23,94.8
2020-12-01,85.7,808.52,18,23.6,94.5
2020-11-01,86,733.7,18,23.5,94.3
2020-10-01,86,720.1,18,24,94.4
2020-09-01,85.7,717.8,18.5,24.7,94.5
2020-08-01,85.9,712.9,18.4,23.6,94.3
2020-07-01,86.1,718.4,18.4,25,94.6
2020-06-01,86.1,716.5,18.4,25,94.6
2020-05-01,86.1,716.3,18.4,25,94.6
2020-04-01,86.1,716.3,18.4,25,94.6
2020-03-01,86,718,18.9,26.1,95.5
2020-02-01,85.3,712,18.9,26.6,95.7
2020-01-01,85.2,714.9,19,27.2,95.7
2019-12-01,84.6,713.9,19.2,28.4,95.9
2019-11-01,84.8,721.9,19.6,28.9,96.2
2019-10-01,84.3,723.9,19.6,30,96.1
2019-09-01,83,739.6,18.9,29.6,95.6
2019-08-01,83,745.7,18.5,27.3,95
2019-07-01,83,752.1,18.4,26.4,95
2019-06-01,82.5,752.6,18.2,26.4,94.9
2019-05-01,82.2,757,18.6,26.7,94.9
2019-04-01,81.3,749.2,18.1,26.7,94
2019-03-01,81.3,753.2,17.8,24.3,91.8
2019-02-01,81.3,747.1,17.5,23.3,89.8
2019-01-01,80.8,746.2,17.5,21.9,87.3
2018-12-01,79.8,751,17.4,21.1,87.1
2018-11-01,79.7,775,17.6,20.9,86.8
2018-10-01,79.3,795,17.2,20,86.5
2018-09-01,79.1,795.6,17.2,19,85.5
2018-08-01,79,801.5,17.4,18.6,85.2
2018-07-01,78.9,800.1,17.4,17.6,85
2018-06-01,77.8,793.8,17.4,17.6,84.9
2018-05-01,77.6,781.3,17.4,17.5,84.3
2018-04-01,77.1,780.2,16.9,17.5,84.3
2018-03-01,76.9,789.9,17,17.5,84.3
2018-02-01,75.7,784.2,17,17.8,83.7
2018-01-01,76.1,789.5,16.6,18,84.2
2017-12-01,75.4,783,16.3,17.9,83.3
2017-11-01,75.4,760.1,16.7,17.5,82.3
2017-10-01,75.8,761.4,16.8,17.4,82.2
2017-09-01,75.3,776.1,16.6,17.8,82.2
2017-08-01,74.8,752,16.6,18,81.3
2017-07-01,76,644.1,16.4,17,81.2
2017-06-01,76.5,608.2,16.3,16.6,80.8
2017-05-01,76.2,610.2,16.1,16.9,80.2
2017-04-01,76.5,635.1,15.7,16.3,80.3
2017-03-01,75.9,642.8,15.1,17,80.7
2017-02-01,76.3,647.5,15,16.7,81.1
