Date,US Dollar,Sterling Pound,Swiss Franc,Japanese Yen,Malaysian Ringgit,Hong Kong Dollar,Australian Dollar,Korean Won,New Taiwan Dollar,Euro,Indonesian Rupiah,Thai Baht,Renminbi,Indian Rupee
2025-05-01,1.2938,1.73,1.5609,0.895,0.3035,0.1658,0.8339,0.093,4.2922,1.46,0.0079,3.9277,0.1793,2.2472
2025-04-01,1.3246,1.74,1.5844,0.9178,0.2999,0.1706,0.8329,0.0918,4.0511,1.4853,0.0079,3.9223,0.1814,2.2758
2025-03-01,1.3362,1.7235,1.5109,0.896,0.3012,0.1719,0.8414,0.0917,4.0527,1.4423,0.0081,3.9509,0.1843,2.2836
2025-02-01,1.3469,1.6875,1.4896,0.8874,0.3031,0.1731,0.8482,0.0932,4.1031,1.4023,0.0082,3.9853,0.1852,2.3208
2025-01-01,1.3625,1.6819,1.4979,0.8697,0.3045,0.175,0.8487,0.0937,4.1432,1.4095,0.0084,3.9703,0.1865,2.4216
2024-12-01,1.3503,1.7072,1.5152,0.8794,0.3027,0.1737,0.8558,0.0938,4.1437,1.4141,0.0084,3.9522,0.1854,2.5
2024-11-01,1.3365,1.7042,1.5185,0.8698,0.3013,0.1718,0.8733,0.0958,4.13,1.421,0.0084,3.8805,0.1854,2.548
2024-10-01,1.309,1.7104,1.5214,0.8759,0.3048,0.1685,0.8797,0.0963,4.0785,1.4278,0.0084,3.9243,0.1847,2.4962
2024-09-01,1.2964,1.7125,1.5302,0.9054,0.3041,0.1664,0.8774,0.0973,4.0546,1.4395,0.0085,3.8872,0.1832,2.465
2024-08-01,1.3159,1.703,1.5335,0.8993,0.2981,0.1688,0.8758,0.0974,4.0812,1.4499,0.0084,3.7863,0.184,2.5432
2024-07-01,1.3469,1.731,1.5084,0.8524,0.2877,0.1725,0.8991,0.0974,4.125,1.4603,0.0083,3.7132,0.1854,2.5974
2024-06-01,1.3516,1.7195,1.5128,0.8561,0.287,0.1731,0.8983,0.098,4.1734,1.456,0.0083,3.6822,0.1863,2.6257
2024-05-01,1.3512,1.7066,1.4857,0.8669,0.2864,0.173,0.895,0.099,4.18,1.4602,0.0084,3.6878,0.1868,2.6701
2024-04-01,1.3569,1.6983,1.492,0.8822,0.2847,0.1733,0.8827,0.0991,4.1953,1.4551,0.0085,3.6896,0.1875,2.7402
2024-03-01,1.3401,1.704,1.5106,0.8954,0.2842,0.1713,0.879,0.1007,4.2296,1.4576,0.0085,3.7296,0.1861,2.7524
2024-02-01,1.3445,1.6982,1.5342,0.8998,0.2819,0.1719,0.8778,0.1009,4.2747,1.451,0.0086,3.748,0.1869,2.7545
2024-01-01,1.3355,1.6968,1.5566,0.9149,0.2851,0.1709,0.8881,0.1007,4.2785,1.4571,0.0085,3.7958,0.1862,2.8134
2023-12-01,1.3324,1.6865,1.5389,0.9247,0.286,0.1706,0.8912,0.1022,4.2634,1.4536,0.0086,3.805,0.1865,2.8201
2023-11-01,1.3482,1.6744,1.5128,0.9007,0.2876,0.1727,0.876,0.1032,4.2302,1.4575,0.0086,3.8051,0.1866,2.8127
2023-10-01,1.369,1.6664,1.5147,0.9156,0.2884,0.175,0.8698,0.1013,4.2387,1.4459,0.0087,3.7484,0.1874,2.8379
2023-09-01,1.3638,1.6904,1.5177,0.923,0.2912,0.1742,0.8755,0.1023,4.255,1.4561,0.0089,3.8008,0.1869,2.8935
2023-08-01,1.3505,1.7162,1.5379,0.9324,0.2929,0.1726,0.8764,0.1022,4.2435,1.4735,0.0089,3.8554,0.1862,2.8853
2023-07-01,1.3346,1.7193,1.5267,0.9463,0.2906,0.1707,0.8994,0.104,4.2783,1.4757,0.0089,3.8539,0.1857,2.9371
2023-06-01,1.3461,1.6996,1.4943,0.9536,0.2906,0.1719,0.9041,0.1039,4.3636,1.4584,0.009,3.8573,0.1879,2.9041
2023-05-01,1.3393,1.6719,1.494,0.9773,0.2964,0.1709,0.8905,0.101,4.3596,1.4566,0.009,3.9155,0.1916,2.9119
2023-04-01,1.3319,1.6563,1.4817,0.9981,0.301,0.1697,0.8914,0.1007,4.3578,1.4593,0.009,3.8865,0.1934,2.9414
2023-03-01,1.3407,1.6274,1.4478,1.003,0.3002,0.1708,0.8962,0.1028,4.3879,1.4358,0.0088,3.8869,0.1944,3.0046
2023-02-01,1.3309,1.6092,1.4395,1.002,0.3049,0.1696,0.9198,0.1044,4.4021,1.4262,0.0088,3.9143,0.1947,3.0432
2023-01-01,1.3258,1.6196,1.4339,1.0168,0.3063,0.1696,0.9211,0.1065,4.3604,1.4277,0.0087,3.9855,0.1953,3.106
2022-12-01,1.352,1.6466,1.4495,1.0014,0.3063,0.1736,0.9128,0.1044,4.4082,1.4305,0.0087,3.8861,0.1937,3.0774
2022-11-01,1.3874,1.6275,1.436,0.9741,0.3008,0.1772,0.9146,0.1022,4.4135,1.4135,0.0089,3.8106,0.1932,3.049
2022-10-01,1.4245,1.6079,1.4326,0.9695,0.3036,0.1815,0.9068,0.0999,4.4592,1.4013,0.0092,3.7551,0.1981,3.0394
2022-09-01,1.4136,1.5994,1.4523,0.988,0.3111,0.1801,0.9445,0.1013,4.5252,1.4,0.0094,3.8153,0.2013,2.9946
2022-08-01,1.3843,1.6596,1.4468,1.0248,0.3099,0.1764,0.9634,0.1048,4.5986,1.4016,0.0093,3.8592,0.2035,2.9835
2022-07-01,1.3949,1.6739,1.4398,1.0208,0.3141,0.1777,0.9565,0.1067,4.6668,1.4224,0.0093,3.8358,0.2071,2.9944
2022-06-01,1.3837,1.7067,1.4266,1.0337,0.3144,0.1763,0.9727,0.1083,4.6729,1.4635,0.0094,3.9602,0.2067,2.9429
2022-05-01,1.3814,1.7204,1.411,1.0728,0.3152,0.176,0.975,0.109,4.6689,1.4626,0.0095,4.0143,0.2061,2.9816
2022-04-01,1.3656,1.7687,1.4473,1.0822,0.32,0.1742,1.0074,0.1106,4.6941,1.4782,0.0095,4.043,0.2125,2.9931
2022-03-01,1.3593,1.791,1.4621,1.1479,0.3236,0.1738,1.0013,0.1113,4.7792,1.4977,0.0095,4.0885,0.2142,3.0409
2022-02-01,1.3467,1.8235,1.4596,1.1688,0.3216,0.1726,0.9642,0.1124,4.8301,1.5276,0.0094,4.1301,0.2123,3.0105
2022-01-01,1.3506,1.8314,1.4701,1.1756,0.3224,0.1733,0.97,0.1129,4.8798,1.5296,0.0094,4.0623,0.2125,3.0053
2021-12-01,1.3632,1.814,1.4805,1.1969,0.3238,0.1748,0.9755,0.1152,4.9126,1.5409,0.0095,4.0613,0.2141,2.9906
2021-11-01,1.3574,1.8265,1.4714,1.1895,0.3247,0.1742,0.9917,0.1146,4.88,1.5479,0.0095,4.1022,0.2124,3.0834
2021-10-01,1.3511,1.8489,1.4626,1.1946,0.3245,0.1737,0.9993,0.1143,4.8354,1.5676,0.0095,4.037,0.2104,3.0482
2021-09-01,1.3475,1.8518,1.461,1.2234,0.3235,0.1732,0.9864,0.1149,4.8613,1.5869,0.0095,4.0773,0.2087,3.0371
2021-08-01,1.3552,1.8699,1.4824,1.2339,0.3211,0.1741,0.989,0.1166,4.8612,1.5953,0.0094,4.0936,0.2092,3.0765
2021-07-01,1.3543,1.8708,1.4749,1.2278,0.3226,0.1743,1.0062,0.1183,4.8367,1.6014,0.0093,4.1506,0.2092,3.04
2021-06-01,1.333,1.8708,1.4691,1.2109,0.3224,0.1717,1.0197,0.1188,4.7995,1.6068,0.0093,4.2428,0.2075,3.1425
2021-05-01,1.3303,1.8715,1.4725,1.2185,0.3223,0.1713,1.0322,0.1184,4.7671,1.6145,0.0093,4.252,0.2068,3.2656
2021-04-01,1.3344,1.8469,1.4465,1.2241,0.3237,0.1718,1.0271,0.1194,4.7246,1.5963,0.0092,4.2546,0.2046,3.1712
2021-03-01,1.3423,1.8608,1.4455,1.2358,0.3267,0.1729,1.0351,0.1187,4.7498,1.5988,0.0093,4.3599,0.2063,3.1937
